function,backend,dtype,n,max_ulp,p99_ulp,median_ulp,frac_gt1,frac_gt10,max_abs_err,nonfinite_mismatch,worst_x,worst_got,worst_ref,vec_scalar_mismatch,default_tol_fail,op_tol_fail,op_rtol,op_atol,seconds
erfc,jax,f64,619,105999.0502855368,100.4370603196973,0.2758824507267215,0.07431340872374798,0.033925686591276254,2.220446049250313e-16,0,27.000000000000004,0.0,5.23705e-319,,,,,,0.07
erfinv,torch,f32,888,0.4996979836710216,0.4936191903421137,0.25480199222273353,0.0,0.0,1.1913728314993932e-07,0,-0.9992658495903015,-2.3875441551208496,-2.3875442742581328,0,0,0,1.3e-06,0.0001,0.42
erfinv,scipy,f32,888,1.9521913986863095,1.6188752379100906,0.4093317386557492,0.10247747747747747,0.0,2.775941987387398e-07,0,-5.36022639607836e-07,-4.750377513573767e-07,-4.7503769587276e-07,,,,,,0.42
erfinv,jax,f32,888,7434210.27666841,52.609961706218876,1.217511880089667,0.6137387387387387,0.07657657657657657,1.485276984070083e-05,0,-1.1754943508222875e-38,-0.0,-1.0417547444163216e-38,,,,,,0.45
erfinv,torch,f64,904,0.507363942180725,0.4980709868557454,0.24406163998478528,0.0,0.0,8.881784197001252e-16,0,-0.9999999999999793,-5.406901684243202,-5.406901684243201,0,0,0,1e-07,1e-07,0.53
erfinv,scipy,f64,904,1.9649119557978776,1.6987957910739537,0.4096165236044423,0.10508849557522124,0.0,8.881784197001252e-16,0,-3.806039774063851e-06,-3.3730149271323093e-06,-3.3730149271323084e-06,,,,,,0.52
erfinv,jax,f64,904,3991211251234741.5,294240.31268767733,0.6243167696898733,0.3196902654867257,0.21017699115044247,4.228155603414052e-10,0,-2.2250738585072014e-308,-0.0,-1.9719203645301425e-308,,,,,,0.58
lgamma,torch,f32,616,0.8746470760628611,0.4969374923707704,0.24235954368347778,0.0,0.0,0.04102634312584996,0,-2.462092399597168,-0.007555975113064051,-0.007555975520353334,0,0,0,1.3e-06,1e-05,0.06
lgamma,scipy,f32,616,0.499912938993538,0.4959203049627771,0.2415363894577387,0.0,0.0,0.04102634312584996,0,3.3245978355407715,1.0126595497131348,1.012659609307401,,,,,,0.05
lgamma,jax,f32,616,3.402823669209385e+38,113.755614611354,0.5777241468822967,0.3300653594771242,0.0457516339869281,0.07126858981791884,4,1.0,4.76837158203125e-07,0.0,,,,,,0.09
lgamma,torch,f64,616,1.1500373386274574,0.49747009694568994,0.2386450961680665,0.0016233766233766235,0.0,2.220446049250313e-16,0,-2.4620924014946204,-0.007555978302904682,-0.007555978302904683,0,0,0,1e-07,1e-07,0.04
lgamma,scipy,f64,616,1.2815302002756068e+16,4.21879559426797,0.35342351499205765,0.09624796084828711,0.0065252854812398045,1.1641532182693481e-10,3,0.9999999999999999,2.2204460492503128e-16,6.408381213480008e-17,,,,,,0.03
lgamma,jax,f64,616,6.6858497531202024e+16,67.68582958318896,0.6285589014483828,0.3104575163398693,0.03758169934640523,2.3283064365386963e-10,4,0.9999999999999999,8.881784197001252e-16,6.408381213480008e-17,,,,,,0.07
digamma,torch,f32,619,48.895115792744974,7.209144436591057,0.3910679025528725,0.1715210355987055,0.0048543689320388345,1.2089258196146292e+24,1,1.4033215045928955,-0.05798444524407387,-0.05798426309557336,0,0,0,1.3e-06,1e-05,0.09
digamma,scipy,f32,619,0.49999997019715087,0.49825314365921575,0.2421447334730935,0.0,0.0,1.2089258196146292e+24,1,1.0842021078620191e-19,-9.223373136366404e+18,-9.223372586610622e+18,,,,,,0.09
digamma,jax,f32,619,104.10488420725503,13.403717683614332,0.5107926403506183,0.2305194805194805,0.012987012987012988,549755781120.0,3,1.4033215045928955,-0.0579838752746582,-0.05798426309557336,,,,,,0.14
digamma,torch,f64,619,62.46734853037024,22.390672554834588,0.5270812085104073,0.2783171521035599,0.02750809061488673,1.4901161193847656e-08,1,1.4033215376054817,-0.057984229354029505,-0.057984229354029936,0,0,0,1e-07,1e-07,0.06
digamma,scipy,f64,619,51.06372699880437,15.656636904067062,0.3791900840170216,0.1407766990291262,0.022653721682847898,1.4901161193847656e-08,1,-340229.97656780644,-29.861833708821752,-29.861833708821933,,,,,,0.05
digamma,jax,f64,619,41.02051464598399,12.886435097016825,0.5870404642883764,0.25,0.016233766233766232,2.9802322387695312e-08,3,-75.78768863625915,0.34456630315860837,0.34456630315861064,,,,,,0.1
sigmoid,torch,f32,619,43950.78021926447,1.5124330418303724,0.29925150780694515,0.09046849757673667,0.0032310177705977385,6.314093548009936e-08,0,-92.58810424804688,0.0,6.158816082713284e-41,7,0,0,1.3e-06,1e-05,0.02
sigmoid,scipy,f32,619,43950.78021926447,1.5124330418303724,0.29458675662574374,0.08723747980613894,0.0032310177705977385,6.314093548009936e-08,0,-92.58810424804688,0.0,6.158816082713284e-41,,,,,,0.02
sigmoid,jax,f32,619,43950.78021926447,1.5124330418303724,0.29925150780694515,0.09046849757673667,0.0032310177705977385,6.314093548009936e-08,0,-92.58810424804688,0.0,6.158816082713284e-41,,,,,,0.05
sigmoid,torch,f64,619,1.8550969849871468,1.6425580471588621,0.35313662353792785,0.10662358642972536,0.0,1.1102230246251565e-16,0,-0.006597782479539533,0.4983505603635538,0.4983505603635539,3,0,0,1e-07,1e-07,0.03
sigmoid,scipy,f64,619,1.8550969849871468,1.6425580471588621,0.3554378022192979,0.10823909531502424,0.0,1.1102230246251565e-16,0,-0.006597782479539533,0.4983505603635538,0.4983505603635539,,,,,,0.02
sigmoid,jax,f64,619,1.8550969849871468,1.6504965750743608,0.35313662353792785,0.1098546042003231,0.0,1.1102230246251565e-16,0,-0.006597782479539533,0.4983505603635538,0.4983505603635539,,,,,,0.06
erfcx,torch,f32,619,43.824156751636686,7.365772013745763,1.2587987644331002,0.5945072697899838,0.008077544426494346,2.091844595146596e+30,0,-8.44250774383545,1.8020938563818662e+31,1.8020885583664042e+31,0,4,4,1.3e-06,1e-05,0.04
erfcx,scipy,f32,619,0.4999982466783619,0.49261270927550693,0.2429309731702908,0.0,0.0,3.1912369775723344e+28,0,0.22641728818416595,0.788203775882721,0.788203746080503,,,,,,0.03
erfcx,torch,f64,619,157.03705517474214,50.26494326197459,1.4690534098081192,0.6494345718901454,0.029079159935379646,7.732742333668841e+257,0,-23.25459451307119,1.4359351282897875e+235,1.435935128289743e+235,0,0,0,1e-07,1e-07,0.04
erfcx,scipy,f64,619,157.03705517474214,50.26494326197459,1.4690534098081192,0.6494345718901454,0.029079159935379646,7.732742333668841e+257,0,-23.25459451307119,1.4359351282897875e+235,1.435935128289743e+235,,,,,,0.03
i0,torch,f32,619,2.5782801855977944,2.225690209834931,0.594459192094437,0.2956381260096931,0.0,8.30231797715785e+25,0,-0.015616054646670818,1.000061273574829,1.0000609662198798,0,0,0,1.3e-06,1e-05,0.06
